Author,Title,Year,Source title,Citation count,Abstract,Indexed keywords,Correspondence address,Publisher,document type,Source,Duplicate records,Full text unavailable,Inconsistent terminologies,Non-research papers,Not related to MBSE,No AI technologies,MBSE is not augmented by AI,Theoretical studies
Chambers C.; Ganeriwala P.; Bhattacharyya S.; Sen C.; Nur N.,Towards Knowledge Extraction and Parsing of XML Metadata for SysML System Architecture Modeling,2023,"2023 IEEE 14th Annual Ubiquitous Computing, Electronics and Mobile Communication Conference, UEMCON 2023",1,"Model-based engineering (MBSE) is an essential step in the design of a system to automate the evaluation of inconsistencies, dependencies, and information flows before its actual implementation. The primary step in automating the evaluation is in the representation of the system or systems of systems, which can be achieved in a systems modeling language. One such systems modeling language is SysML, which allows users to model a wide variety of diagram types for structural and behavioral representation. SysML leverages the Object Management Group XML Metadata Interchange (XMI) to exchange modeling data between tools. These languages can be interchanged into XMI; however, the XMI generated in modeling environments contains irrelevant information that can be refined using an algorithmic approach. Extracting these redundancies is essential to building a knowledge base of the vital components needed to replicate these XMI files outside the modeling environment using NLP strategies. Towards that end, we present XMLSlim, a robust and persistent algorithm that optimizes XML files by modifying elements and attributes without altering their meaning. By implementing XMLSlim on aerospace and electromechanical use cases, we illustrated the effectiveness of our approach with a 60% reduction in the file size while preserving their semantic meaning. This algorithm is built on reverse-engineered information retrieval techniques to assist with our ultimate goal of developing an automated model that generates SysML diagrams from the technical text. ? 2023 IEEE.",Algorithmic languages; Data mining; Information retrieval; Knowledge based systems; Metadata; Natural language processing systems; Reverse engineering; Search engines; Semantics; XML; Architecture modeling; Knowledge extraction; Language processing; Modeling environments; Natural language processing; Natural languages; SysML; System models; Systems architecture; XML metadata; Modeling languages,,Institute of Electrical and Electronics Engineers Inc.,Conference paper,Scopus,,,,,,,,
Diventi A.; Forsbacka M.; Rainbolt K.; Cornford S.; Feather M.,"NASA's safety, reliability, and mission assurance digital future",2023,Proceedings - Annual Reliability and Maintainability Symposium,0,"The evolution from ""document-centric""to ""data-centric""and ""model-centric""information leveraging structured data and model-based approaches is at the heart of digital engineering transformational efforts underway across industry and government. It is these approaches that pave the way for data lakes, Authoritative Sources of Truth (ASOTs), and systems-of-systems interoperability and the corresponding transformational benefits thereof. Such benefits include increased data availability, data access equity, data traceability, real-Time analytics, batch analytics, and (most importantly) acceleration of the time-To-value and time-To-insights associated with engineering products and analyses. The longer-Term benefits of reusability, customization and traceability are even more promising.For Safety and Mission Assurance (SMA), and Mission Success (SMS) activities; realization of such benefits is essential to provide engineers and analysts alike vital information when needed to support critical decision making throughout the entire life cycle. The SMA community often operate in parallel with engineering activities, for which information exchange with relevant context is paramount. Far too often, such information lags key decision points and/or is absent of the robust, integrated, knowledge needed, given inherent barriers associated with traditional document-centric means to data sharing, analysis, and reporting.This paper provides an overview of how NASA's Office of Safety and Mission Assurance (OSMA) is evolving its policies, standards, guidance, and training to transform to eliminate such barriers, thus realizing the benefits emerging in this new digital era. A roadmap for achieving this digital future is presented along with key building blocks involving use and implementation of concepts such as: Objectives-Hierarchies, Objective-Driven Requirements, Accepted Standards, Safety and Assurance Cases, data digitization (i.e., ontologies, structured data, and model-centric data), FAIR (Findable, Accessible, Interoperable,Reusable) and/or FAIRUST (Findable, Accessible, Interoperable, Reusable, Understandable, Secure, and Trusted) principles [1]. This paper also describes how OSMA, leveraging the Agency's overall commitment to Digital Transformation (DT), is using the power of Policy, ""Digital""Domain representation, Product Evolution, and Community Outreach and Engagement as part of a strategic vision and roadmap to evolve and transform its SMA organizations to become better able to serve its stakeholders and customers. Future publications will elaborate on these building blocks and deeper concepts. ? 2023 IEEE.",Decision making; Interoperability; Life cycle; Metadata; NASA; Reusability; Safety engineering; Assurance case; Authoritative source of truth; Digital transformation; Mission assurances; Mission success; Safety & mission success; Safety assurance; Structured data; System modeling language; System models; Modeling languages,"A. Diventi; NASA OSMA, Washington, 300 E Street SW, Mail Code 5C67, 20546-0001, United States; email: anthony.j.diventi@nasa.gov",Institute of Electrical and Electronics Engineers Inc.,Conference paper,Scopus,,,,1,,,,
Lukyanenko R.; Samuel B.M.; Parsons J.; Pastor O.; Storey V.C.,Hablas Datish? A proposal for a Universal Data Modeling Language or Datish,2023,"29th Annual Americas Conference on Information Systems, AMCIS 2023",0,"We propose a universal conceptual data modeling language, Datish. A universal conceptual modeling language can address some of the challenges faced by modern data modeling. Conceptual data modeling seeks to represent the domain＊s substance and form, identifying the kinds of data to be collected, stored, or used, and have been effective in supporting database design. A universal modeling language can address many existing challenges in modeling practice. Since the 1970s, hundreds of modeling languages have been proposed and developed. Although some languages emerged for important classes of applications, such as entity-relationship diagrams (ERDs) for relational database design, these were still limited for many use cases. As a result, hundreds of specialized conceptual modeling languages were developed (e.g., SysML for modeling systems, FAN to support administrative work). Practitioners lament the proliferation of languages, suggesting a ※universal data language§ can eliminate the modeling Tower of Babel (Western, 2022). Furthermore, existing languages struggle to keep up with the ever-expanding emerging technologies such as: artificial intelligence, social media, or NoSQL databases, data lakes (Lukyanenko et al., 2019). A general-purpose language is also needed because these technologies are often used together (e.g., AI in the context of social media). In general, modern systems never exist in isolation, and integrating systems and data across an organization can be facilitated by a universal language. These challenges can be potentially addressed by Datish - a universal modeling language capable of generic representation of data needs and data-related objects and events. To develop Datish we drew upon theories from design, linguistics, semiotics, psychology, and philosophy that specifically dealt with universal design, communication, cognition, and general composition of reality. From the theories, we formulated a set of principles underlying Datish. The principles shaped the design of specific constructs of Datish, including object, category, relationship and description as well as unique ways to use these constructs diagrammatically. The graphic representations of Datish also follow research guidance, that includes the design of visual notations (e.g., Moody, 2009), as well as existing practices and conventions in modeling. The Datish language can be effective in providing support in a variety of systems development scenarios cases (when building social media or AI systems or selecting a NoSQL database technology). Having a common language should promote communication and mutual understanding among stakeholders and facilitate deeper integration of information technologies and data, as continuously needed for emerging technologies in today＊s digitalized world. A first of a kind and theoretically grounded universal conceptual modeling language also opens novel opportunities for theoretical and empirical investigations and analysis. ? 2023 29th Annual Americas Conference on Information Systems, AMCIS 2023. All rights reserved.",Design; Information systems; Information use; Social networking (online); Conceptual data models; Conceptual modeling languages; Data modeling language; Database design; Emerging technologies; Entity relationship diagrams; Relational Database; Social media; Universal data model; Universal modeling languages; Modeling languages,,Association for Information Systems,Conference paper,Scopus,,,,,,1,,
Cody T.; Beling P.A.,On combining automated theorem proving and digital engineering for general intelligence,2023,Proceedings of SPIE - The International Society for Optical Engineering,1,"In recent years, engineering intelligent systems has become closely related to integrating artificial intelligence (AI) or machine learning (ML) components into systems. There is a general sense that as the availability of computational resources scales, the intelligence of AI and ML components will scale, thus scaling the intelligence of the system as a whole. While this bottom-up approach has merit, it takes the task of engineering intelligence out of the hands of systems engineers and gives it to AI and ML engineers. In this paper, an alternative approach to engineering intelligence is outlined based on combining the concepts of automated theorem proving (ATP) and digital engineering. Instead of using AI and ML at the component-level, ATP can be applied at the systems-level to digital models and environments. By systematically solving proofs related to properties, functional requirements, and performance, ATP can contribute to the design, operation, and regulation of intelligent systems. This paper substantiates the use of ATP in digital engineering by using model-based systems engineering as an interface between the two. This paper illustrates this interface with a descriptive example in unmanned aerial systems. Ultimately, the use of ATP with digital engineering provides a top-down, systems-centric alternative to using AI and ML components as the primary means of engineering intelligence. ? 2023 SPIE",Antennas; Automation; E-learning; Engineering education; Machine components; Support vector machines; Theorem proving; Artificial intelligence learning; Automated theorem proving; Bottom up approach; Computational resources; Digital engineering; Engineering intelligence; General Intelligence; Machine-learning; Model-based system engineerings; Scalings; Intelligent systems,"T. Cody; Virginia Tech National Security Institute, Arlington, 900 N. Glebe Rd., 22203, United States; email: tcody@vt.edu",SPIE,Conference paper,Scopus,,,,,,,1,
Bonner M.; Zeller M.; Schulz G.; Beyer D.; Olteanu M.,Automated Traceability between Requirements and Model-Based Design,2023,CEUR Workshop Proceedings,1,"Traceability is an important aspect in system development, since it helps to ensure that the developed system fulfills all requirements and prevents failures. When developing safety-critical systems, traceability is mandatory to demonstrate that the system is implemented correctly. Unfortunately, establishment and maintenance of trace links are hard to achieve manually in today＊s complex systems. Tools and methods for automated trace link generation, which have been proposed so far, have no broad adoption in industry and there is lack of evidence of their effectiveness. To address these challenges we introduce a tool, which allows establishing bi-directional traceability links between requirements and model-based designs using Artificial Intelligence (AI). Our tool is an extension of the Siemens toolchain for Application Lifecycle Management (ALM), systems engineering, and embedded software design. It creates trace links between requirements written in natural language and CapitalTM software, AUTOSAR, SysML, UML, or Arcadia models for system/software design. This paper describes the implemented use-cases of tracing system/SW/HW requirements to system architecture models and provides an overview of the tool architecture. ? 2023 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).",Application programs; Embedded systems; Life cycle; Requirements engineering; Safety engineering; Software design; Bi-directional; Model-based design; Ontology's; Requirements traceability; Safety critical systems; Semantic-Web; Siemens; System development; Tools and methods; Traceability links; Semantic Web,,CEUR-WS,Conference paper,Scopus,,,,,,,,
Kapusuzoglu B.; Mahadevan S.; Matsumoto S.; Miyagi Y.; Watanabe D.,Multi-Level Bayesian Calibration of a Multi-Component Dynamic System Model,2023,Journal of Computing and Information Science in Engineering,1,"This paper proposes a multi-level Bayesian calibration approach that fuses information from heterogeneous sources and accounts for uncertainties in modeling and measurements for time-dependent multi-component systems. The developed methodology has two elements: quantifying the uncertainty at component and system levels, by fusing all available information, and corrected model prediction. A multi-level Bayesian calibration approach is developed to estimate component-level and system-level parameters using measurement data that are obtained at different time instances for different system components. Such heterogeneous data are consumed in a sequential manner, and an iterative strategy is developed to calibrate the parameters at the two levels. This calibration strategy is implemented for two scenarios: offline and online. The offline calibration uses data that is collected over all the time-steps, whereas online calibration is performed in real-time as new measurements are obtained at each time-step. Analysis models and observation data for the thermo-mechanical behavior of gas turbine engine rotor blades are used to analyze the effectiveness of the proposed approach.  Copyright ? 2022 by ASME.",Big data; Inverse problems; Iterative methods; Machine learning; Turbomachine blades; Uncertainty analysis; Bayesia n networks; Bayesian statistics; Big data and analytic; Datadriven engineering; Engineering applications; Inverse method for engineering application; Inverse methods; Machine learning for engineering application; Machine-learning; Model and simulation; Model calibration; Model-based system engineerings; Multiphysics model; Multiphysics simulations; Physics-based Simulation; Uncertainty quantifications; Bayesian networks,"S. Mahadevan; Department of Civil and Environmental Engineering, Vanderbilt University, Nashville, 37235, United States; email: sankaran.mahadevan@vanderbilt.edu",American Society of Mechanical Engineers (ASME),Article,Scopus,,,,,1,,,
Stetter R.; Gr邦ble T.; Till M.,Geometric and kinetic digital twin of a body-in-white assembly system for virtual commissioning,2023,Procedia CIRP,1,"Producing companies face enormous challenges due to increasing customer expectations, global competition and sustainability considerations. In recent years, the concept of the digital twin (DT) has found rising attention, because this concept has the potential to enable, amongst others, superior monitoring, process control, diagnosis, traceability and quality control. Additionally, the concept of a DT may intensify the integration of product development, production planning and production, because it is sensible to initiate the creation of the digital twin already in product development and the potential of this concept can only be fully realized if all phases of the system lifecycle are considered. Extensive research has already covered the application of DTs during production operation, but concerning the application in the product design stage many questions remain. The research described in this paper is focused on the question how design automation concepts can contribute to an automated creation of a DT. The paper explains a novel concept for realizing a digital twin. The novel concept is employing an engineering framework based on graph-based design languages. It is applied to an automotive body-in-white assembly system and aims at supporting virtual commissioning. The digital twin includes geometric and kinetic models and simulations and its creation already starts in product development. ? 2023 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (https://creativecommons.org/licenses/by-nc-nd/4.0)",Assembly; Computer aided design; Customer satisfaction; Graphic methods; Product design; Product development; Production control; Quality control; Virtual reality; Assembly systems; Body in whites; Body in-white; Design languages; Digital engineering; Graph-based; Graph-based design language; Model-based system engineerings; Novel concept; Virtual commissioning; Life cycle,"R. Stetter; Ravensburg-Weingarten University, Weingarten, Doggenriedstra?e, 88250, Germany; email: ralf.stetter@rwu.de",Elsevier B.V.,Conference paper,Scopus,,,,,1,,,
Wilking F.; Behringer M.; Fett M.; Goetz S.; Kirchner E.; Wartzack S.,Concept of a Modular and System Model Driven Digital Twin for Engineering Education,2023,"2023 18th Annual System of Systems Engineering Conference, SoSe 2023",2,"Driven by the opportunities for condition monitoring and new business models, Digital Twins have become a popular topic within research and industrial application over the last years. Therefore, universities must integrate the development of Digital Twins into their educational program to enable future engineers to overcome the challenges concomitant with Digital Twins. While a theoretical basis for Digital Twins is crucial e.g., hardware-software integration, Internet of Things (IoT) or simulation models, a practical combination of these heterogeneous components is also necessary to introduce the Digital Twin as a whole concept. With Model-Based Systems Engineering (MBSE) an approach was introduced to grasp complexity by using system models e.g., through SysML diagrams. Digital Twins are an example for advanced systems shaped by high complexity. The usage of system models is therefore likely. With this contribution, a concept is presented to combine system models and Digital Twins to create a prototype for academic education and the conduction of student projects.  ? 2023 IEEE.",Condition monitoring; E-learning; Engineering education; Industrial research; Internet of things; Educational program; Hardware\software integration; Heterogeneous component; Model-based system engineerings; Model-driven; Modular modelling; New business models; Simulation model; SysML; System models; Computer software,,Institute of Electrical and Electronics Engineers Inc.,Conference paper,Scopus,,,,,,,,1
Franch X.; Palomares C.; Quer C.; Chatzipetrou P.; Gorschek T.,The state-of-practice in requirements specification: an extended interview study at 12 companies,2023,Requirements Engineering,10,"Requirements specification is a core activity in the requirements engineering phase of a software development project. Researchers have contributed extensively to the field of requirements specification, but the extent to which their proposals have been adopted in practice remains unclear. We gathered evidence about the state of practice in requirements specification by focussing on the artefacts used in this activity, the application of templates or guidelines, how requirements are structured in the specification document, what tools practitioners use to specify requirements, and what challenges they face. We conducted an interview-based survey study involving 24 practitioners from 12 different Swedish IT companies. We recorded the interviews and analysed these recordings, primarily by using qualitative methods. Natural language constitutes the main specification artefact but is usually accompanied by some other type of instrument. Most requirements specifications use templates or guidelines, although they seldom follow any fixed standard. Requirements are always structured in the document according to the main functionalities of the system or to project areas or system parts. Different types of tools, including MS Office tools, are used, either individually or combined, in the compilation of requirements specifications. We also note that challenges related to the use of natural language (dealing with ambiguity, inconsistency, and incompleteness) are the most frequent challenges that practitioners face in the compilation of requirements specifications. These findings are contextualized in terms of demographic factors related to the individual interviewees, the organization they are affiliated with, and the project they selected to discuss during our interviews. A number of our findings have been previously reported in related studies. These findings show that, in spite of the large number of notations, models and tools proposed from academia for improving requirements specification, practitioners still mainly rely on plain natural language and general-purpose tool support. We expect more empirical studies in this area in order to better understand the reason of this low adoption of research results. ? 2023, The Author(s).",Natural language processing systems; Software design; Specifications; Empirical studies; Interview; Interview study; Natural language requirements; Natural languages; Requirement engineering; Requirement management tools; Requirements documentations; Requirements specifications; State of practise; Requirements engineering,"X. Franch; Software and Service Engineering Group (GESSI), Universitat Polit豕cnica de Catalunya (UPC), Barcelona, Jordi Girona Num.1每3, Omega Building, Room 122, Catalonia, Spain; email: franch@essi.upc.edu",Springer Science and Business Media Deutschland GmbH,Article,Scopus,,,,1,,,,
Ahmad E.,Model-Based System Engineering of the Internet of Things: A Bibliometric Literature Analysis,2023,IEEE Access,4,"Model-based System Engineering (MBSE) of the Internet of Things (IoT) literature is broad, and analysis of this literature enables the identification of themes and potential future study topics that will influence system development. This paper reports on bibliometric literature analysis of MBSE of IoT. It considers conference and journal publication trends in the state-of-the-art to identify emerging research themes from the standpoint of trans/multi-disciplinary scholarship and technology. We used Elsevier's Scopus database to find relevant publications from January 2018 to December 2022. Using publication citation ranking and other factors (e.g., publication venues), we selected 110 articles and then analyzed them using BibExcel and VOSviewer software tools. With a modest decline in 2021, this analysis shows an overall increase in publications during the time period. A thematic analysis of the abstracts revealed a strong focus on the introduction of reference architectures and integration of MBSE with business and management methodologies like Agile and BPMN 2.0. Model-driven engineering and machine learning techniques are essential among the enablers for realization of complex heterogeneous IoT systems in the realm of Industry 4.0. We highlight these findings to better understand and meet the enduring challenge of scaling MBSE of IoT across diverse sectors like health, manufacturing, and transportation.  ? 2013 IEEE.",Engineering education; Engineering research; Industrial research; Industry 4.0; Learning systems; Publishing; Bibexcel; Bibliometric; Industrial internet of thing; Market researches; Model-based system engineerings; Model-driven Engineering; Modeling; System analysis and design; Systems engineering and theories; Thematic analysis; Vosviewer; Internet of things,"E. Ahmad; Saudi Electronic University, College of Computing and Informatics, Riyadh, 11673, Saudi Arabia; email: e.ahmad@seu.edu.sa",Institute of Electrical and Electronics Engineers Inc.,Article,Scopus,,,,1,,,,
Purohit S.; Madni A.; Adiththan A.; Madni A.M.,Digital Twin Integration for Software Defined Vehicles: Decoupling Hardware and Software in Automotive System Development,2023,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",0,"The ongoing evolution of Software Defined Vehicles (SDVs) in the automotive industry has drawn attention to the importance of decoupling hardware and software to enable greater flexibility, upgradability, and adaptability in vehicle design and functionality. Digital twin technology, which involves creating virtual models of physical systems with bidirectional communication with the physical system, presents a promising approach for optimizing and validating various aspects of SDVs within this new paradigm. This paper proposes a novel framework for applying digital twins in the context of SDVs, and the benefits derived from decoupling hardware and software.  ? 2023 IEEE.",Automotive industry; Automotive Systems; Autonomous Vehicles; Decouplings; Hardware and software; MBSE; Ontology's; Physical systems; Software defined vehicle; System development; Systems architecture; Autonomous vehicles,,Institute of Electrical and Electronics Engineers Inc.,Conference paper,Scopus,,,,,1,,,
Molina M.; Treichel T.,Achieving Interoperability with MBSE and Asset Administration Shells: Integration of MATLAB/Simulink and BaSyx,2023,"Proceedings - 2023 IEEE/ACM 11th International Workshop on Software Engineering for Systems-of-Systems and Software Ecosystems, SESoS 2023",0,"This paper presents an approach to integrating Asset Administration Shells (AASs) and Model-based systems engineering (MBSE) to meet the stricter demands of Industry 4.0 plants. This integration can enable a system to gather and analyze real-world data as well as to update the system model, leading to prolonged model lifetime and increased utility. The proposed solution is a library developed using MATLAB/Simulink and BaSyx APIs, which provides a block that encapsulates the communication interface with a submodel stored inside a BaSyx AAS server. The authors used a hydraulic press simulation to validate the proposed solution and demonstrate how it can be used to implement condition monitoring capabilities. ? 2023 IEEE.",Application programming interfaces (API); Condition monitoring; Asset administration shell; Basyx; Communication interface; I4.0; MATLAB\ SIMULINK; Model-based system engineerings; Real-world; Simulink; Submodels; System models; Simulink,,Institute of Electrical and Electronics Engineers Inc.,Conference paper,Scopus,,,,,,1,,
Ray A.T.; Fischer O.J.; Mavris D.N.; White R.T.; Cole B.F.,aeroBERT-NER: Named-Entity Recognition for Aerospace Requirements Engineering using BERT,2023,"AIAA SciTech Forum and Exposition, 2023",16,"Organizations predominantly use natural language (NL) for requirements elicitation, development, and management since NL is easy to understand and use by stakeholders with varying levels of experience, unlike specialized model-based languages, which require training to use. However, NL requirements entail ambiguities associated with language, a tedious and errorprone manual examination process, difficulties verifying requirement completeness, and failure to recognize and use technical terms effectively. Modern complex systems warrant an integrated and holistic approach to their development to capture their numerous interrelationships. This need has spurred a trend toward model-centric approaches to engineering as compared to traditional document-based methods. Transitioning to Model-Based Systems Engineering (MBSE) requires standardized, machine-readable requirements, but the conversion of NL requirements into models is hindered by the ambiguities and inconsistencies inherent in NL. The field of Natural Language Processing (NLP) has shown promise in facilitating the conversion of NL requirements into a format that enables their standardization and use in a model-based environment. Named-Entities Recognition (NER), in particular, can be leveraged to help address the ambiguities in NL requirements. To be of value, however, a language model needs to be fine-tuned to recognize aerospace-specific terms. To that end, we developed an annotated aerospace corpus and fine-tuned the BERT language model on the corpus to create aeroBERT-NER: a new model for identifying named entities (NEs) in aerospace requirements. A comparison between aeroBERT-NER and BERTBASE-NER showed the improved performance of aeroBERT-NER in identifying NEs within a set of aerospace requirements. The NEs identified by the model were used to create a glossary to facilitate consistent use of technical terms and language in aerospace requirements. ? 2023, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.",Aviation; Computational linguistics; Natural language processing systems; Language model; Model-based OPC; Named entities; Named entity recognition; Natural language requirements; Natural languages; Requirement engineering; Requirement management; Requirements elicitation; Technical terms; Requirements engineering,,"American Institute of Aeronautics and Astronautics Inc, AIAA",Conference paper,Scopus,,,,,,,,
Schweitzer G.M.; Bitzer M.; Vielhaber M.,"Lifecycle Engineering in the Context of a Medical Device Company 每 Leveraging MBSE, PLM and AI",2023,IFIP Advances in Information and Communication Technology,1,"Medical devices today often consist of complex mechatronic products which help to provide treatment services for patients. Beside safety and reliability also sustainability aspects need to be considered for such products and services. The ability to describe, analyze and predict products and services throughout all phases of its lifecycle is becoming a core competence of engineering departments (Lifecycle Engineering). In order to have a digital representation of the product and services along the lifecycle (digital model, digital twin), well-established engineering approaches need to be combined. This paper builds on a stream of research, proposing to leverage and combine Model-based Systems Engineering (MBSE), Product Lifecycle Management (PLM) and Artificial Intelligence (AI) to strengthen the Lifecycle Engineering. The so called Engineering Graph is a key element of this research work to bridge those engineering disciplines and enable AI-driven engineering in the lifecycle context. ? 2023, IFIP International Federation for Information Processing.",Bridges; Engineering education; Engineering research; Life cycle; Patient treatment; Artificial intelligence; Engineering graph; Engineering products; Life cycle engineering; Lifecycle engineering; Model-based system engineerings; Product and services; Product life cycle management; Product lifecycle management; System engineering; Artificial intelligence,,Springer Science and Business Media Deutschland GmbH,Conference paper,Scopus,,,,,,,,1
Zhang J.; Gollner M.; Liu-Henke X.; Vietor T.,Systematic Optimization of Parameters for Adaptive Local Trajectory Planning Using Genetic Algorithm,2023,"2023 8th Asia-Pacific Conference on Intelligent Robot Systems, ACIRS 2023",0,"The following paper deals with an assistance function based on genetic algorithms (GA) to optimize the weighting factors of the driving function 'Adaptive Local Trajectory Planning (alTp)', which serves as a part of the trajectory planning of autonomous driving to compensate for the inability of global trajectory planning in obstacle avoidance in the dynamic traffic environment. Considering the derived requirements, the considered optimization problem is coded and initialized. To ensure a steady optimization of the alTp with the specified weighting factors, the same objective criteria of the alTp are also applied in the fitness function of the assistance function for the quantitative evaluation of the respective solution candidates. Using a test scenario with driverless transport vehicles (AGV) for material transport in intralogistics, the developed assistance function is validated with the help of a virtual test bench and demonstrated. ? 2023 IEEE.",Intelligent vehicle highway systems; Trajectories; Virtual reality; Driving functions; Genetic algorithm; Model in the loops; Model-based system engineerings; Model-in-the-loop-simulation; Optimization of parameters; Parameter optimization; Systematic optimization; Trajectory Planning; Weighting factors; Genetic algorithms,,Institute of Electrical and Electronics Engineers Inc.,Conference paper,Scopus,,,,,1,,,
Hassan F.U.; Nguyen T.; Le T.; Le C.,Automated prioritization of construction project requirements using machine learning and fuzzy Failure Mode and Effects Analysis (FMEA),2023,Automation in Construction,11,"Due to the emergence of risk-based verification practices, requirement prioritization has gained importance as a task in project requirements management. However, it is challenging due to the voluminous paper-based requirements, the reliance on manual content analysis and interviews, the limited focus on specific requirement types, and the neglect of the non-conformance detectability factor. This paper leverages historical data of risk priority numbers (RPN) for many written requirements to develop a novel machine learning model for requirement prioritization. The training data includes requirement statements manually annotated with professionals' ratings for three risk factors severity, probability, and non-detectability. The overall fuzzy RPN data was aggregated using fuzzy logic to tackle uncertainty in subjective ratings. The model was trained using a Convolutional Neural Network (CNN). The study is anticipated to greatly aid professionals in prioritizing extensive textual project requirements essential for effective resource allocation that can eventually eliminate costly consequences of high-risk non-compliance. ? 2023 Elsevier B.V.",Computer circuits; Convolutional neural networks; Failure (mechanical); Fuzzy inference; Fuzzy neural networks; Project management; Construction contract; Construction inspection; Construction projects; Failure mode and effects analysis; Fuzzy-Logic; Machine-learning; Prioritization; Project requirement; Requirements prioritization; Risk-based; Machine learning,"T. Le; Glenn Department of Civil Engineering, Clemson University, Clemson, 29634, United States; email: tuyenl@clemson.edu",Elsevier B.V.,Article,Scopus,,,,,,,,
Tabunshchyk G.; Fruhner D.; Mutyala S.B.C.,Poster: An Open Modular Approach for the Design and Verification of the Electric Vehicles,2023,Lecture Notes in Networks and Systems,1,"The goal of this work is to simplify the development, integration and verification of the products in the field of electromobility based on Model Based System Engineering and to create an open platform for research and education. An analysis of the automotive standards which could be applied to the open platform is provided. The toolchain for the verification and validation of the electric vehicle was developed, which could transform the purely virtual testing of the electric drive into the X-in-the-Loop. There are considered integrated flows both for the static and for the dynamic tests. ? 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Electric drives; Electric vehicles; Model checking; Automotive standards; Electromobility; EV platform; Model based testing; Model-based system engineerings; Modular approach; Open platforms; Verification-and-validation; Virtual testing; Virtual validations; Virtual reality,"G. Tabunshchyk; Fachhochschule Dortmund, Dortmund, Otto-Hahn-Str. 23, 44227, Germany; email: galyna.tabunshchyk@fh-dortmund.de",Springer Science and Business Media Deutschland GmbH,Conference paper,Scopus,,,,,,,1,
Zhang K.; Qiao Z.; Zhao F.; Lu H.,A Study on the Work Mode of Spacecraft Flight Control from the Perspective of the Metaverse,2023,ICEIEC 2023 - Proceedings of 2023 IEEE 13th International Conference on Electronics Information and Emergency Communication,1,"At present, the work of spacecraft flight control is in the downstream stage of the whole mission chain, and the flight control work mode cannot adapt to the subsequent space missions. In response to these limitations, a conceptual design of a work mode for space flight control from the metaverse' s perspective is proposed. Model-based systems engineering (MBSE) is adopted as the basic methodology for constructing the flight control metaverse. A common flight control infrastructure is proposed as the foundation for mission system development. A flight control metaverse architecture that targets missions throughout the flight control process is built with extensive applications of AI technology. A new flight control work mode and a mission system work mode are designed to bring about systemic innovation in the flight control work mode. The former work mode features a model-based design of flight control schemes, agile and automatic implementation of mission systems, integrated flight control mission implementation, and parallel operation in physical and virtual spaces. The latter work mode comes with intelligent control, flexible deployment, and autonomous operation capabilities. The flight control metaverse presents a new mode of working space for flight control. The new flight control work mode that builds on the flight control metaverse can be used as a technical reference for the continuous innovation and improvement of subsequent flight control practices. ? 2023 IEEE.",Flight control systems; Space flight; Spacecraft; Common flight control infrastructure; Control infrastructures; Control works; Flight control; Flight control work mode; Metaverses; Model-based system engineering; Model-based system engineerings; Spacecraft flight control; Work mode; Conceptual design,,Institute of Electrical and Electronics Engineers Inc.,Conference paper,Scopus,,,,,,,,1
Zhong S.; Scarinci A.; Cicirello A.,Natural Language Processing for systems engineering: Automatic generation of Systems Modelling Language diagrams,2023,Knowledge-Based Systems,9,"The design of complex engineering systems is an often long and articulated process that highly relies on engineers＊ expertise and professional judgment. As such, the typical pitfalls of activities involving the human factor often manifest themselves in terms of lack of completeness or exhaustiveness of the analysis, inconsistencies across design choices or documentation, as well as an implicit degree of subjectivity. An approach is proposed to assist systems engineers in the automatic generation of systems diagrams from unstructured natural language text. Natural Language Processing (NLP) techniques are used to extract entities and their relationships from textual resources (e.g., specifications, manuals, technical reports, maintenance reports) available within an organisation, and convert them into Systems Modelling Language (SysML) diagrams, with particular focus on structure and requirement diagrams. The intention is to provide the users with a more standardised, comprehensive and automated starting point onto which subsequently refine and adapt the diagrams according to their needs. The proposed approach is flexible and open-domain. It consists of six steps which leverage open-access tools, and it leads to an automatic generation of SysML diagrams without intermediate modelling requirement, but through the specification of a set of parameters by the user. The applicability and benefits of the proposed approach are shown through six case studies having different textual sources as inputs, and benchmarked against manually defined diagram elements. ? 2022 The Author(s)",Graphic methods; Natural language processing systems; Professional aspects; Specifications; Systems engineering; Automated diagram from text; Automatic Generation; Language processing; Natural language processing; Natural languages; Requirement diagram; Structure diagrams; System modeling language diagram; System models; Text-to-diagram; Modeling languages,"A. Cicirello; Depeartment of Engineering Structures, Delft University of Technology, Delft, Stevinweg 1, 2628 CN, Netherlands; email: a.cicirello@tudelft.nl",Elsevier B.V.,Article,Scopus,,,,,,,,
