Author,Title,Year,Source title,Abstract,Author keywords,Correspondence address,Country,Publisher,Document type,Source,AI technologies,Key technology clusters,AI capabilities,MBSE phases,MBSE activities,MBSE tasks,Application area
"Xia, M.; Mo, X.; Zhang, Y.; Hu, X.",A knowledge graph construction and causal structure mining approach for non-stationary manufacturing systems,2025,Robotics and Computer-Integrated Manufacturing,"Knowledge graph (KG) is a method for managing multi-source heterogeneous data and forming knowledge for reasoning using graph structure. It has been extensively utilized in manufacturing systems to promote the advancement of intelligent manufacturing. In non-stationary manufacturing systems, the machining performance of individual elements demonstrates variability and dynamic fluctuations. The significant dynamics and uncertainties of a manufacturing system bring great challenges to KG's modeling, construction, and reasoning. To overcome these challenges, this paper proposes a Digital-Physical Manufacturing Knowledge Graph (DPMKG) construction and reasoning method. Firstly, an ontology-based knowledge representation model is developed to facilitate the integration of digital domain knowledge with the description of physical domain performance fluctuations, thereby establishing the schema layer of DPMKG. Secondly, a SysML model-driven construction pipeline is proposed to facilitate the correlation and integration of multi-source data from both digital and physical domains, thereby establishing the instance layer of DPMKG. Thirdly, a causal structure mining method for DPMKG is developed to enhance the analytical and reasoning capabilities in non-stationary manufacturing systems. Finally, an aero-engine casing machining system is employed as a case study to establish the DPMKG, and reasoning is performed on the process quality prediction task. The case study reveals that the proposed DPMKG modeling, construction, and reasoning approach can effectively describe and analyze performance fluctuations in the physical domain of a non-stationary manufacturing system. By integrating digital and physical domain knowledge, the extensive data can be effectively leveraged to generate knowledge for reasoning, thereby facilitating intelligent and refined control of non-stationary manufacturing systems. ? 2025",Causal inference; Knowledge modeling; Manufacturing knowledge graph; Non-stationary manufacturing system,"X. Hu; School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China; email: wshxf@sjtu.edu.cn",China,Elsevier,Article,Scopus,KG+Ontology,Knowledge-driven,Logical reasoning and inference,Optimization and decision-making,Decision Support,Risk Identification,Industry
"Ganeriwala, P.; Narayan, N.; Jones, R.M.; Matessa, M.; Bhattacharyya, S.; Davis, J.; Rollini, S.F.; Purohit, H.; Neogi, N.","Systems Engineering With Architecture Modeling, Formal Verification, and Human Interactions for Learning-Enabled Autonomous Agent",2025,Systems Engineering,"With the rapid advancements in Artificial Intelligence (AI), autonomous agents are expected to handle increasingly complex situations. However, learning-enabled algorithms, which are critical to these systems, present significant challenges, including complexity, difficulty in verification, and a lack of certification pathways. A systematic approach integrating architectural analysis with human¨Cmachine interaction is crucial to ensuring the safety of these systems. This research emphasizes the early incorporation of human interactions in the design of architectural models to meet safety requirements. These interactions are modeled in the Soar cognitive architecture, which combines symbolic decision logic and numeric decision preferences, refined by reinforcement learning. The agent is then automatically translated into the formal verification environment, nuXmv, where its properties are verified. Our framework integrates systems modeling, formal verification, and simulation to check operational correctness, enhancing the reliability and safety of learning-enabled autonomous?agents. ? 2025 Wiley Periodicals, Inc.",assuring learning enabled systems; autonomous agent; formal verification; human¨Cautonomy interactions; MBSE,"P. Ganeriwala; Florida Institute of Technology, Melbourne, United States; email: pganeriwala2022@my.fit.edu",United States,John Wiley and Sons Inc,Article,Scopus,ML,\,\,Optimization and decision-making,\,\,Aerospace£¨Aircraft£©
"Yang, H.; Li, R.; He, X.; Zhang, H.; Wu, F.; Liu, J.; Guan, Z.",An intelligent customized design method for complex products under the influence of dynamic uncertainty,2025,Advanced Engineering Informatics,"In the Industry 5.0 paradigm, mass customization and personalized production models have gained significant traction. Concurrently, artificial intelligence (AI) advancements have revolutionized product design methodologies. However, dynamic uncertainty in complex product customization processes presents escalating challenges. This study proposes an Intelligent Customized Design (ICD) framework for complex products under dynamic uncertainty, integrating Model-Based Systems Engineering (MBSE) with advanced computational intelligence. Firstly, an ICD modeling architecture based on System Modeling Language is developed to manage dynamic uncertainty through parametric feedback loops and scenario-driven validation. A tripartite uncertainty mitigation strategy is formulated to address three key challenges building on this architecture: requirement volatility, conceptual space ambiguity, and solution convergence issues. Advanced algorithms are employed to operationalize this strategy¡ªcloud models for clarifying fuzzy requirements, FP-growth for reconstruction of conceptual design space, and Deep Q-Networks (DQN) for optimizing real-time decision-making. Finally, the framework is empirically validated using a high-speed train bogie case study, demonstrating its effectiveness in improving enterprise responsiveness to market heterogeneity. The findings establish a systematic approach for AI-driven customization intelligence, bridging MBSE rigor with adaptive design reasoning under uncertainty. ? 2025 Elsevier Ltd",Complex products; Dynamic uncertainty; Intelligent customized design; MBSE,"H. Zhang; Institute of Advanced Design and Manufacturing, Southwest Jiaotong University, Chengdu, 610031, China; email: zhanghaizhu@swjtu.edu.cn",China,Elsevier,Article,Scopus,ML,Data-driven,Design trade-off analysis and change impact prediction,Optimization and decision-making,System Optimization,Solution Optimization,Other£¨Rails£©
"Yang, Z.; Tong, X.; Wang, H.; Song, Z.; Fu, R.; Bao, J.",Digital Twin Incorporating Deep Learning and MBSE for Adaptive Manufacturing of Aerospace Parts,2025,Processes,"With the growing demand for diverse and high-volume manufacturing of composite material parts in aerospace applications, traditional machining methods have faced significant challenges due to their low efficiency and inconsistent quality. To address these challenges, digital twin (DT) technology offers a promising solution for developing automated production systems by enabling optimal configuration of manufacturing parameters. However, despite its potential, the widespread adoption of DT in complex manufacturing systems remains hindered by inherent limitations in adaptability and inter-system collaboration. This paper proposes an integrated framework that combines Model-Based Systems Engineering (MBSE) with deep learning (DL) to develop a digital twin system capable of adaptive machining. The proposed system employs three core components: machine vision-based process quality inspection, cognition-driven reasoning mechanisms, and adaptive optimization modules. By emulating human-like cognitive error correction and learning capabilities, this system enables real-time adaptive optimization of aerospace manufacturing processes. Experimental validation demonstrates that the cognition-driven DT framework achieves a defect recognition accuracy of 99.59% in aircraft cable fairing machining tasks. The system autonomously adapts to dynamic manufacturing conditions with minimal human intervention, significantly outperforming conventional processes in both efficiency and quality consistency. This work underscores the potential of integrating MBSE with DL to enhance the adaptability and robustness of digital twin systems in complex manufacturing environments. ? 2025 by the authors.",adaptive; composite aerospace parts; deep learning; digital twin; MBSE,"X. Tong; College of Mechanical Engineering, Donghua University, Shanghai, 201620, China; email: txd@mail.dhu.edu.cn; J. Bao; College of Mechanical Engineering, Donghua University, Shanghai, 201620, China; email: bao@dhu.edu.cn",China,MDPI,Article,Scopus,DL+DT,Simulation-related,State synchronization and coupling,Optimization and decision-making,Decision Support,Fault Diagnosis,Aerospace£¨Aircraft£©
"Zhang, C.; Jing, Y.; Zhou, G.; Yan, H.; Chang, F.",Heterogeneous knowledge graph-driven subassembly identification with ensemble deep learning in Industry 4.0,2025,International Journal of Production Research,"In the context of Industry 4.0, model-based definition (MBD) has been an effective approach to creating 3D models contained all heterogeneous information needed to define a product, which proposes new challenges for the traditional subassembly identification method that only considers the geometric information of a product in assembly sequence planning. To bridge the gap, we propose a novel heterogeneous knowledge graph-driven subassembly identification method to enhance assembly sequence planning in the model-based systems engineering (MBSE) paradigm. Specifically, a heterogeneous knowledge graph is first constructed based on the shape information and engineering details of an MBD model. Next, an ensemble deep learning approach that combines graph neural networks with the community detection algorithm is proposed to effectively detect the subassembly from the MBD model. Finally, the feasibility and effectiveness of the proposed method are demonstrated through an example of car suspension subassembly identification, providing insight into the industrial implementation. ? 2024 Informa UK Limited, trading as Taylor & Francis Group.",ensemble deep learning; Knowledge graph; model-based definition; MBSE; subassembly identification,"G. Zhou; School of Mechanical Engineering, Xi¡¯an Jiaotong University, Xi¡¯an, China; email: ghzhou@mail.xjtu.edu.cn",China,Taylor and Francis Ltd.,Article,Scopus,DL+KG,Knowledge-driven,Logical reasoning and inference,Optimization and decision-making,System Optimization,Solution Optimization,Vehicle
"Tahir, H.; Jabbarpour, M.R.; Vo, B.Q.; Kowalczyk, R.; Barr, J.; Bessell, T.",Towards Explainable AI in Spacecraft Health Monitoring: Comparative Benchmarking of Anomaly Detection Models and Open-Source Datasets,2025,IEEE Access,"The growing autonomy and complexity of spacecraft systems demand intelligent, interpretable, and resilient onboard health monitoring. This paper presents a dual benchmarking study of anomaly detection methods and telemetry datasets, evaluating both classical and deep learning models across real spacecraft telemetry and synthetic data generated via the Basilik simulator. Extensive experiments assess model performance across diverse fault types, data distributions, and operational scenarios. Furthermore, The study systematically compares datasets in terms of anomaly coverage, fidelity, and operational relevance, providing critical insights into their suitability for training and validating machine learning models. While the ultimate objective is to develop a resilient explainable AI (XAI) system for anomaly detection, this study focuses on benchmarking representative anomaly detection models and datasets to identify robust and generalizable backbones suitable for future XAI integration, rather than presenting an end-to-end XAI implementation. Beyond performance evaluation, the study underscores the importance of integrating anomaly detection with engineering frameworks such as Model-Based Systems Engineering (MBSE) and Digital Twins to enhance fault traceability, state validation, and system-level interpretability. The findings highlight that effective deployment in safety-critical space environments requires not only high-performing models and representative data but also tight integration with formal systems engineering paradigms. ? 2013 IEEE.",AI/ML; Anomaly detection; Data Science; Spacecraft Systems; XAI,"H. Tahir; Swinburne University of Technology, Hawthorn, John St, 3122, Australia; email: htahir@swin.edu.au",Australia,IEEE,Article,Scopus,DL+KG+ML,Knowledge-driven,Logical reasoning and inference,Optimization and decision-making,Decision Support,Fault Diagnosis,Aerospace£¨Spacecraft£©
"Mandelli, D.; Wang, C.; Godbole, C.M.; Agarwal, V.; Movassat, M.; Liang, D.; Nur, E.",Capturing Historic Reliability Performance Through Graph Databases: A Model-Based System Engineering Approach,2025,Nuclear Plant Instrumentation and Control & Human-Machine Interface Technology,"To improve the performance and reliability of high dependable technological systems such as nuclear power plants, advanced monitoring and health management systems are employed to inform system engineers on observed degradation processes and anomalous behaviors of assets and components. This information is captured in the form of large amount of data which can be heterogenous in nature (e.g., numeric, textual). Such a large amount of available data poses challenges when system engineers are required to parse and analyze them to track the historic reliability performance of assets and components. This paper directly tackles this challenge by providing a means to organize data in the form of a knowledge graph. Our approach distinguish itself from current knowledge graph-based methods in that model-based system engineering (MBSE) models are used to ¡°put data into context.¡± In particular, MBSE models are used as skeleton of a knowledge graph; numeric and textual data elements, once processed, are associated to MBSE model elements. Thus, a knowledge graph captures both system architecture (though MBSE models) and health and performance data. Such a feature opens the door to new data analytics methods designed to identify causal relations between observed phenomena. ? 2025 AMERICAN NUCLEAR SOCIETY, INCORPORATED, WESTMONT, ILLINOIS 60559.",anomaly detection; knowledge graph; NLP,"D. Mandelli; Idaho National Laboratory, Idaho Falls, United States; email: diego.mandelli@inl.gov",United States,American Nuclear Society,Conference paper,Scopus,KG,Knowledge-driven,Logical reasoning and inference,Optimization and decision-making,Decision Support,Fault Diagnosis,Other£¨Energy£©
"Ren, S.; Gao, H.; Zhao, X.; Wang, J.; Shi, H.; Wang, C.",A model and knowledge-driven reliability optimisation approach for complex systems,2025,Journal of Engineering Design,"Complex systems¡¯ low reliability is often caused by information uncertainties like component coupling, fault propagation and fault modes. Accurately identifying and optimising these uncertainties is vital for systems¡¯ optimal operation. However, their evolution patterns are hard to describe precisely, and the current data-driven mode is often resource-intensive. Consequently, inefficient information extraction and knowledge reuse in complex systems have led to suboptimal reliability optimisation decisions. To address this challenge, a model and knowledge-driven reliability optimisation approach is proposed in this paper. Firstly, a model-driven reliability analysis approach combining SysML modelling language of model-based system engineering (MBSE) with fault mode and effects analysis (FMEA) is proposed to support accurate fault extraction information and reliability assessment. Then, an ontology-based knowledge representation model and a reliability optimisation-oriented knowledge graph are developed to efficiently manage and reuse the reliability knowledge derived from historical operation and maintenance (OM) data of complex systems. After that, the naive Bayes classifier is used to perform probabilistic fault cause reasoning, providing quantitative guidance for reliability optimisation decisions. Finally, an application scenario study of an avionics system demonstrates that the proposed approach improves the display control unit reliability of the avionics system by 22%. ? 2025 Informa UK Limited, trading as Taylor & Francis Group.","Complex systems; knowledge graph; reliability optimisation; SysML, FMEA","C. Wang; School of Modern Post, Xi'an University of Posts and Telecommunications, Xi'an, China; email: chuangw@xupt.edu.cn; X. Zhao; School of Mechanical Engineering, Northwestern Polytechnical University, Xi'an, China; email: zhaoxin_ie@mail.nwpu.edu.cn",China,Taylor and Francis Ltd.,Article,Scopus,KG+ML+Ontology,Knowledge-driven,Logical reasoning and inference,Optimization and decision-making,System Optimization,Reliability Optimization,Aerospace£¨Spacecraft£©
"Huang, Y.; DeLaurentis, D.A.",GraphRAG(Graph-based Retrival Augmented Generation) application in UAM System of systems,2025,AIAA AVIATION FORUM AND ASCEND,"Urban Air Mobility (UAM) aims to transform congested urban transportation by deploying electric vertical takeoff and landing (eVTOL) vehicles with integrated air traffic management and infrastructure.[1, 2] This network of diverse, interacting components classifies UAM as a System of Systems (SoS)[3, 4]. The integration of independently operated subsystems within UAM present significant challenges, including operational independence, data interoperability, dynamic evolution, and emergent behaviors. This paper introduces how GraphRAG, an open-sourced hybrid approach combining knowledge graphs with Retrieval-Augmented Generation (RAG), could address these challenges by enhancing data integration and facilitating real-time updates from unstructured sources. Unlike traditional methods, GraphRAG leverages structured, semantic representations to enable efficient multi-level querying, reduce redundancy, and dynamically adapt to new information. Practical application scenarios, including interdisciplinary knowledge integration, dynamic regulatory compliance and the combination with MBSE, further showcase the system¡¯s capa- bilities to assist decision making in complex SoS environment. Future research is suggested to explore deeper integration with ontology frameworks, enhancing semantic consistency and automated discrepancy detection across diverse data sources. ? 2025 by the American Institute of Aeronautics and Astronautics, Inc. All rights reserved.",Air Traffic Management; Artificial Intelligence; Complex Data Analysis; Data; Data Interoperabilitye; MBSE; Retrieval; Urban Air Mobility; Vertical Takeoff and Landing; VTOLFederal Aviation Administration,"Purdue University, School of Aeronautics and Astronautics, Purdue University, 701 W.Stadium Avenue, West Lafayette, 47907, IN, United States",United States,American Institute of Aeronautics and Astronautics (AIAA),Conference paper,Scopus,KG+LLM,Knowledge-driven,Semantic integration and interoperability,Optimization and decision-making,Decision Support,Situational Awareness,Aerospace£¨Aircraft£©
"Werthwein, M.; Annighoefer, B.; Daw, Z.",Towards Continuous Security Assessment: Integrating Model-Based Risk Assessment and Large Language Models,2025,"Integrated Communications, Navigation and Surveillance Conference","Cyber threats and attacks on aircraft ground infrastructure as well as communication, navigation, and surveillance service providers have increased significantly in recent years. Due to the dynamic nature of cyber threats, a once securely designed architecture will not stay secure throughout its life-cycle. Ensuring the safety and security of large systems of systems requires continuous reassessment of security risks. Currently, while useful building blocks exist, no comprehensive framework supports the continuous and automated risk reassessment in aviation. To address this gap, we propose a conceptual framework that integrates model-based system specification, model-based security assessment, and Large Language Models (LLMs) to automate the continuous reassessment of residual risks in cyber-physical systems. This framework dynamically analyzes and adapts to emerging threats, enabling proactive and up-to-date risk management. This paper outlines the high-level requirements of the proposed framework and presents a state-of-the-art analysis of technology readiness and existing gaps necessary for its implementation. To demonstrate its feasibility and effectiveness, we apply the framework to an Air Traffic Management use case. ? 2025 IEEE.",LLM; MBSE; Risk Assessment; Security,"Institute for Aircraft Systems, University of Stuttgart, Stuttgart, Germany",Germany,IEEE,Conference paper,Scopus,LLM,Generative AI,Semantic reasoning and consistency analysis,Optimization and decision-making,Decision Support,Risk Identification,Aerospace£¨Aircraft£©
"Salado, Alejandro",TurboArch: Towards Automating System Architecture Decisions with a CoPilot,2025,INCOSE International Symposium,"Architectural decision-making often requires navigating a wide array of disparate evidence sources, from heuristic lists to empirical studies, to anticipate how choices will impact the exhibition of future ilities. This paper presents a proof-of-concept utilizing Large Language Models (LLMs) as a cognitive assistant to assist engineers in synthesizing architectural evidence efficiently. By automating evidence retrieval and analysis from diverse data pools, the proposed approach enables a more informed, streamlined decision-making process for system architects, much like how TurboTax aids individuals in generating accurate tax returns. This novel approach aims to improve accessibility to architectural insights, bridging the gap between human expertise and the vast reservoirs of knowledge available at organizations, ultimately enhancing the effectiveness of architectural choices in complex systems.","System architecture, CoPilot, cognitive assistant, LLM, ilities","The University of ArizonaTucson, AZ (USA)",United States,INCOSE-International Council on Systems Engineering,Conference paper,Wiley,LLM,Generative AI,Interactive assistance,Optimization and decision-making,Decision Support,Situational Awareness,Aerospace£¨Aircraft£©
"Wang, C.; Mandelli, D.; Godbole, C.M.; Agarwal, V.; Movassat, M.; Mori, B.; Liang, D.; Nur, E.; Birjandi, A.; Lobo, B.; Jacome, N.",Fusion of equipment reliability data through knowledge graphs,2025,Reliability Engineering and System Safety,"To maximize plant reliability and availability, complex systems such as nuclear power plants (NPPs) continuously monitor and record the performance and health status of many components, equipment, and systems. Such data may take the form of online monitoring data, condition reports, or maintenance reports, and can provide systems engineers with insights into anomalous behaviors, degradation trends, and the possible causes behind each¡ªin addition to enabling predictions as to their direct consequences. However, analyzing such large amounts of data poses challenges. While some of these challenges are technical in nature (i.e., data are often distributed over several physical servers or databases), others are conceptual (i.e., data elements come in different formats [numeric or textual]), and measured values have different scales (e.g., vibration spectra and oil temperature). This paper directly tackles these challenges, with a focus on integrating all these data elements to assist systems engineers in analyzing historic equipment and system reliability performance to support the optimization of maintenance activities. This integration is performed by extracting knowledge from textual data via technical language processing methods and by quantifying system, equipment, and component health from numeric condition-based data. We rely on model-based systems engineering (MBSE) models of systems and equipment to identify their architecture and functional (i.e., cause and effect) relations. Numeric and textual data elements are then associated with an MBSE graph element, based on their nature. This bonding of MBSE models and data elements constitutes a first of its kind knowledge graph of a NPP system, with data elements being organized in a structured manner that enables systems engineers to track historic reliability performance of systems/equipment (trends and patterns of events), identify cause-effect relations between data elements, and carry out appropriate actions in response. ? 2025 Elsevier Ltd.",Anomaly detection; Data fusion; Knowledge graph; MBSE; Technical language processing,"Idaho National Laboratory, Idaho Falls USA",United States,Elsevier,Article,Scopus,KG,Knowledge-driven,Logical reasoning and inference,Knowledge management and reuse,Knowledge Creation,Knowledge Integration,Other£¨Energy£©
"Landt, L.; Leucker, M.; Burchardt, C.",A Voice-Enabled Query Framework for?Systems Engineering Artefacts,2025,International Conference on Bridging the Gap between AI and Reality,"Model-Based Systems Engineering (MBSE) is increasingly adopted to manage the growing complexity of modern systems, offering a structured, collaborative design approach through modeling languages like SysML. However, its adoption remains challenging due to steep learning curves and the need for interdisciplinary coordination. This paper investigates the use of voice-enabled AI avatars to simplify MBSE interaction by allowing users to query system artifacts using natural language. By integrating a speech-based interface with AI assistants and human-like avatars representing various engineering roles, we aim to lower entry barriers, foster collaboration, and support diverse perspectives inherent in MBSE. Our proposed pipeline converts model data into a machine-readable format for large language models (LLMs) to generate contextualized, role-based responses. We explore the potential of using MBSE models as a knowledge base for AI and examine how such tools can enhance system model comprehension. Contributions include a prototype implementation, support for multi-turn interactions, and an initial evaluation of the approach. ? The Author(s) 2026.",\,"L. Landt; Universit?t zu L¨¹beck, L¨¹beck, Germany; email: lennart.landt@isp.uni-luebeck.de",Germany,Springer,Conference paper,Scopus,LLM,Generative AI,Interactive assistance,Knowledge management and reuse,Knowledge Utilization,Knowledge Reuse,Aerospace£¨UAV£©
"Patrignani, L.; Laurenza, E.; Sallinger, E.; Vlad, A.; Gaudenzi, P.",SpaceKG: Towards exploiting Knowledge Graphs in space systems,2025,Acta Astronautica,"Space systems consist of a vast quantity of deeply interconnected and time-evolving elements. This complexity has been steadily increasing in recent years, prompting the development of intelligent tools capable of managing information in such a scenario and transforming it into actionable knowledge. This paper aims to combine deductive artificial intelligence with space engineering, integrating space project activities with Knowledge Graphs¡¯ semantics and operational dynamics. We propose SpaceKG, a real-time, data-driven, dynamically evolving cognitive digital twin that enables digital continuity throughout the life cycle and across the disciplines of space systems. While traditional Model Based Systems Engineering approaches focus on Knowledge Representation, they struggle with rapid adaptation to change. In contrast, our solution offers a dynamic framework to deal with faster interactions with domain experts and evolving requirements. We showcase and validate the effectiveness of the proposed approach in a specific case study for detecting failure events in the Space Shuttle Main Engine. To this aim, we leverage Vadalog, a high-performance deductive reasoning language that provides full transparency and explainability over the portion of the space system more comprehensively and flexibly than existing approaches. ? 2025 The Authors",Artificial intelligence; Knowledge Graphs; MBSE; Reasoning; Space systems; Vadalog,"L. Patrignani; Department of Mechanical and Aerospace Engineering, Sapienza University of Rome, Rome, Italy; email: l.patrignani@imperial.ac.uk",United Kingdom,Elsevier,Article,Scopus,KG,Knowledge-driven,Logical reasoning and inference,Knowledge management and reuse,Knowledge Utilization,Knowledge Reuse,Aerospace£¨Spacecraft£©
"Harrison, E.D.; Baker, A.; Sundaram, T.; Aydin, K.E.; Paulson, L.; Bendarkar, M.V.; Garc¨ªa, E.; Mavris, D.N.",Development of a Means of Compliance Model to Support Model-Based Regulatory Analysis,2025,AIAA AVIATION FORUM AND ASCEND,"The diverging forms of aircraft concepts in development present an impending challenge for designers and regulatory bodies who face the prospect of reevaluating existing regulations which are primarily posed for traditional aircraft configurations. One approach to enable more streamlined and agile regulatory development and certification processes for aircraft is by utilizing Model-Based Systems Engineering (MBSE) to capture regulations, aircraft designs, and the interconnecting relationships between the two. The relationships between these elements in an MBSE approach form a knowledge graph that can be systematically queried to provide insights. This knowledge can potentially aid in reducing the certification burden by partially automating aspects of the certification process such as the creation of certification checklists and process specific certification plans. This paper builds on previous research and details the formulation of a model-based approach for mapping out valid means and methods of compliance for regulatory paragraphs and aims to lay the foundation for future model-based certification efforts. There is upfront investment required to build the models necessary to support such activities, but there are many potential persisting benefits that justify this investment such as the partial automation of certification plan creation, validation, and document generation. ? 2025 by Evan D. Harrison, Adam Baker, Tharika Sundaram, Kader Engin Aydin, Lauren Paulson, Mayank V. Bendarkar, Elena Garcia, and Dimitri N. Mavris. Published by the American Institute of Aeronautics and Astronautics, Inc., with permission.",Aerospace Recommended Practice; Aircraft Configurations; Aircraft Design; Equivalent Level of Safety; Federal Aviation Administration; Flight Testing; Linkages; MBSE; Python; Title 14 of The Code of Federal Regulations,"ASDL, School of Aerospace Engineering, Georgia Tech, Georgia",United States,American Institute of Aeronautics and Astronautics (AIAA),Conference paper,Scopus,KG,Knowledge-driven,Logical reasoning and inference,Knowledge management and reuse,Knowledge Utilization,Knowledge Reuse,Aerospace£¨Aircraft£©
"Stephan, R.; Schumacher, T.; Inkermann, D.",Fostering Model Reuse in Model-based Systems Engineering using Knowledge Graphs,2025,Procedia CIRP,"The increasing spread of MBSE is associated with the issue of reusing the knowledge contained in different system models in different development projects. Existing approaches for the reuse of system models or elements of these can be classified into framework-based, retrieval-based, and pattern-based. While framework- and pattern-based approaches require standardized modelling methods, retrieval-based approaches are based on merging of different system models. This is not supported by current MBSE-tools. In this contribution we investigate how knowledge graphs can be generated from various SysML system models and whether and how new knowledge, e.g., about cause-effect relationships or structural patterns, can be determined. ? 2025 The Authors.",knowledge graph; labeled property graph; mode-based systems engineering; model reuse; transformation concept,"D. Inkermann; Technische Universit?t Clausthal, Institute of Mechanical Engineering, Clausthal-Zellerfeld, Robert-Koch-Stra?e 32, 38678, Germany; email: inkermann@imw.tu-clausthal.de",Germany,Elsevier,Conference paper,Scopus,KG+LLM,Knowledge-driven,Knowledge reuse and evolution,Knowledge management and reuse,Knowledge Utilization,Knowledge Reuse,Mechatronics
"Gautier, R.; Duarte, N.L.S.; Baker, A.; Mavris, D.N.",Formulation of an Ontology-Based Digital Thread for Analysis and Decision Support Activities,2025,AIAA AVIATION FORUM AND ASCEND,"The design of complex systems such as aircraft is characterized by a high level of complexity that has driven the development of various systems engineering and digital engineering approaches to help connect disparate stakeholders and analysis domains while ensuring requirements are being met. Of particular interest to this research is how the domains of model-based systems engineering, multi-disciplinary analysis and optimization, and design space exploration can be integrated into a collaborative engineering environment by exploiting an ontology. These areas combine to form the basis of analysis and decision support activities that help ensure programmatic needs are consistently, efficiently, and optimally met. This paper reviews a sampling of prevalent enablers for the implementation of an industry-scale digital thread such as product lifecycle management and model-based systems engineering tools. The potential benefits leveraging an ontology for such a digital thread are explored, such as the ability to enable interoperability between tools and seamless connectivity between various stakeholders. The implementation of ontology-leveraged activity requires establishing the formal process for defining the necessary domain ontologies, creating the data structures to support storing the resulting ontology-aligned knowledge graph, and defining the functional process flow of information between the various groups in the design process. This environment is then leveraged to explore how digital artifacts from each group can be utilized with the reduced barriers for data exchange, and how this change impacts the design process. ? 2025, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.",\,"Aerospace Systems Design Laboratory, School of Aerospace Engineering, Georgia Institute of Technology, Atlanta, 30332, GA, United States",United States,American Institute of Aeronautics and Astronautics (AIAA),Conference paper,Scopus,KG+Ontology,Knowledge-driven,Semantic integration and interoperability,Knowledge management and reuse,Knowledge Utilization,Knowledge Reuse,Aerospace£¨Aircraft£©
"Sugawara, Keisuke",Extracting Information from System Model as Graph Structure by Large Language Model in MBSE,2025,INCOSE International Symposium,"In Model-based systems engineering (MBSE), systems are represented as models, but modeling languages such as SysML are difficult to learn and engineers and reviewers are often not familiar with them. In such cases, it is difficult for them to extract the desired information from the system model in design and review. Therefore, we propose a method using large language model (LLM) that enables users who are not familiar with SysML to easily extract information through question-and-answer by natural language. Specifically, the system model is converted to Neo4j format, natural language questions are converted to Cypher queries by LLM, querying is performed, and the results are converted back to natural language by LLM. When we conducted a question-and-answer using this method on a system model that assumes a simple satellite, we found that the method was relatively successful in answering questions for full-text search and questions that require answering the attributes of elements, but the percentage of correct answers was relatively low for questions containing typographical errors or spelling inconsistencies and questions that trace the relationship between multiple elements. It is hoped that this method will increase the opportunities for more people to utilize the MBSE.","MBSE, LLM, SysML, Neo4j, Cypher, Graph Database, Query","Japan Aerospace Exploration Agency2-1-1 Sengen, Tsukuba-shi, Ibaraki 305-8505",United Kingdom,INCOSE-International Council on Systems Engineering,Conference paper,Wiley,KG+LLM,Knowledge-driven,Semantic integration and interoperability,Knowledge management and reuse,Knowledge Utilization,Knowledge Access,Aerospace£¨Spacecraft£©
"Zhu, Y.; Zhang, Y.; Peng, X.; Xue, C.; Chen, B.; Cao, Y.",SSMBERT: A Space Science Mission Requirement Classification Method Based on BERT,2024,Aerospace,"Model-Based Systems Engineering (MBSE) has demonstrated importance in the aerospace field. However, the MBSE modeling process is often tedious and heavily reliant on specialized knowledge and experience; thus, a new modeling method is urgently required to enhance modeling efficiency. This article focuses on the MBSE modeling in space science mission phase 0, during which the mission requirements are collected, and the corresponding dataset is constructed. The dataset is utilized to fine-tune the BERT pre-training model for the classification of requirements pertaining to space science missions. This process supports the subsequent automated creation of the MBSE requirement model, which aims to facilitate scientific objective analysis and enhances the overall efficiency of the space science mission design process. Based on the characteristics of space science missions, this paper categorized the requirements into four categories: scientific objectives, performance, payload, and engineering requirements, and constructed a requirements dataset for space science missions. Then, utilizing this dataset, the BERT model is fine-tuned to obtain a space science mission requirements classification model (SSMBERT). Finally, SSMBERT is compared with other models, including TextCNN, TextRNN, and GPT-2, in the context of the space science mission requirement classification task. The results indicate that SSMBERT performs effectively under Few-Shot conditions, achieving a precision of 95%, which is at least 10% higher than other models, demonstrating superior performance and generalization capabilities. ? 2024 by the authors.",BERT; MBSE; NLP; requirement classification,"Y. Zhang; National Space Science Center, Chinese Academy of Sciences, Beijing, 100190, China; email: zhuyiming221@mails.ucas.ac.cn",China,MDPI,Article,Scopus,NLP,Data-driven,Classification and prediction,Requirement analysis and management,Requirements Representation,Requirements modeling,Aerospace£¨Spacecraft£©
